SKU_ID,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,stock_negativo,Costo_Unitario_Limpio,Lead_Time_Limpio
PROD-2816,tablets,1874.0,124.19,280,,occidente,2024-03-04,False,124.19,5.0
PROD-2112,,1336.0,1185.58,113,,zona_franca,2024-03-04,False,1185.58,5.0
PROD-1001,accesorios,476.0,1397.26,169,,norte,2024-03-05,False,1397.26,5.0
PROD-2933,smartphones,10.0,848.33,244,,bod-ext-99,2024-03-05,False,848.33,5.0
PROD-1386,smartphones,1145.0,1030.9,222,,bod-ext-99,2024-03-05,False,1030.9,5.0
PROD-3279,smartphones,1091.0,751.62,166,5.0,norte,2024-03-05,False,751.62,5.0
PROD-1809,monitores,893.0,1115.79,180,5.0,norte,2024-03-06,False,1115.79,5.0
PROD-2939,smart-phone,287.0,120.71,100,,zona_franca,2024-03-06,False,120.71,5.0
PROD-1602,accesorios,1751.0,886.62,145,,norte,2024-03-06,False,886.62,5.0
PROD-1501,monitores,349.0,236.07,239,5.0,norte,2024-03-06,False,236.07,5.0
PROD-3246,laptops,1873.0,529.83,259,5.0,sur,2024-03-07,False,529.83,5.0
PROD-1552,monitores,1898.0,1161.46,156,,norte,2024-03-07,False,1161.46,5.0
PROD-1931,accesorios,1104.0,1222.8,205,,sur,2024-03-08,False,1222.8,5.0
PROD-1658,accesorios,311.0,1248.19,122,,bod-ext-99,2024-03-08,False,1248.19,5.0
PROD-1532,laptops,122.0,772.29,235,3.0,norte,2024-03-08,False,772.29,3.0
PROD-2876,monitores,694.0,1496.62,205,10.0,norte,2024-03-08,False,1496.62,10.0
PROD-2877,tablets,1416.0,432.15,207,3.0,norte,2024-03-08,False,432.15,3.0
PROD-2826,laptop,675.0,1395.23,135,3.0,bod-ext-99,2024-03-09,False,1395.23,3.0
PROD-2934,smart-phone,895.0,329.12,266,10.0,sur,2024-03-09,False,329.12,10.0
PROD-2636,laptops,616.0,454.56,170,,norte,2024-03-09,False,454.56,5.0
PROD-2526,smart-phone,1501.0,367.22,208,5.0,occidente,2024-03-09,False,367.22,5.0
PROD-3471,tablets,1597.0,1127.86,288,,norte,2024-03-10,False,1127.86,5.0
PROD-2356,accesorios,597.0,907.99,248,,bod-ext-99,2024-03-10,False,907.99,5.0
PROD-3069,smartphones,20.0,1369.78,296,,norte,2024-03-10,False,1369.78,5.0
PROD-1823,smart-phone,578.0,898.0,152,3.0,bod-ext-99,2024-03-10,False,898.0,3.0
PROD-2439,smartphones,420.0,1373.56,151,3.0,bod-ext-99,2024-03-11,False,1373.56,3.0
PROD-2669,accesorios,610.0,823.32,242,3.0,bod-ext-99,2024-03-11,False,823.32,3.0
PROD-1985,tablets,91.0,576.33,297,10.0,norte,2024-03-11,False,576.33,10.0
PROD-1929,laptops,1199.0,410.38,181,10.0,occidente,2024-03-11,False,410.38,10.0
PROD-3178,smartphones,787.0,662.9,113,5.0,sur,2024-03-11,False,662.9,5.0
PROD-1560,accesorios,738.0,1405.36,292,5.0,sur,2024-03-12,False,1405.36,5.0
PROD-2968,laptops,691.0,561.1,117,5.0,zona_franca,2024-03-12,False,561.1,5.0
PROD-1300,laptops,,1399.08,166,3.0,sur,2024-03-12,False,1399.08,3.0
PROD-1312,accesorios,1057.0,622.13,180,,occidente,2024-03-12,False,622.13,5.0
PROD-3053,accesorios,951.0,106.56,166,5.0,bod-ext-99,2024-03-12,False,106.56,5.0
PROD-3294,,577.0,884.9,282,10.0,sur,2024-03-12,False,884.9,10.0
PROD-1288,laptops,273.0,1078.69,206,10.0,occidente,2024-03-13,False,1078.69,10.0
PROD-1754,tablets,1978.0,398.97,121,3.0,zona_franca,2024-03-13,False,398.97,3.0
